column,parent,supernode,column_count
0,103,0,82
1,105,1,79
2,102,2,97
3,102,3,78
4,105,4,85
5,108,5,82
6,46,6,77
7,83,7,90
8,72,8,91
9,72,9,90
10,46,10,80
11,57,11,76
12,48,12,96
13,48,13,94
14,73,14,89
15,57,15,81
16,47,16,86
17,48,17,104
18,46,18,78
19,47,19,82
20,57,20,80
21,47,21,90
22,48,22,95
23,57,23,77
24,46,24,94
25,46,25,77
26,48,26,105
27,47,27,83
28,48,28,93
29,46,29,82
30,47,30,92
31,47,31,90
32,47,32,111
33,47,33,87
34,47,34,92
35,47,35,111
36,46,36,78
37,46,37,85
38,46,38,92
39,46,39,80
40,46,40,99
41,57,40,71
42,46,40,77
43,57,40,81
44,46,40,82
45,46,40,97
46,47,40,177
47,48,40,198
48,49,40,197
49,50,40,196
50,51,40,195
51,52,40,194
52,53,40,193
53,54,40,192
54,55,40,191
55,56,40,190
56,57,40,189
57,58,40,188
58,59,40,187
59,60,40,186
60,61,40,185
61,62,40,184
62,63,40,183
63,64,40,182
64,65,40,181
65,66,40,180
66,67,40,179
67,68,40,178
68,69,40,177
69,70,40,176
70,71,40,175
71,72,40,174
72,73,40,174
73,74,40,173
74,75,40,172
75,76,40,171
76,77,40,170
77,78,40,169
78,79,40,168
79,80,40,167
80,81,40,166
81,82,40,165
82,83,40,164
83,84,40,163
84,85,40,162
85,86,40,161
86,87,40,160
87,102,40,159
88,103,41,78
89,103,42,86
90,105,43,81
91,102,44,84
92,102,45,95
93,102,46,83
94,102,47,75
95,102,48,81
96,102,49,80
97,103,50,82
98,102,50,101
99,102,50,103
100,105,50,80
101,107,50,85
102,103,50,168
103,104,50,167
104,105,50,166
105,106,50,165
106,107,50,164
107,108,50,163
108,109,50,162
109,110,50,161
110,111,50,160
111,112,50,159
112,113,50,158
113,114,50,157
114,115,50,156
115,116,50,155
116,117,50,154
117,118,50,153
118,119,50,152
119,120,50,151
120,121,50,150
121,122,50,149
122,123,50,148
123,124,50,147
124,125,50,146
125,126,50,145
126,127,50,144
127,128,50,143
128,129,50,142
129,130,50,141
130,131,50,140
131,132,50,139
132,133,50,138
133,134,50,137
134,135,50,136
135,136,50,135
136,137,50,134
137,138,50,133
138,139,50,132
139,140,50,131
140,141,50,130
141,142,50,129
142,143,50,128
143,144,50,127
144,145,50,126
145,146,50,125
146,147,50,124
147,148,50,123
148,149,50,122
149,150,50,121
150,151,50,120
151,152,50,119
152,292,50,118
153,251,51,82
154,250,52,83
155,250,53,76
156,249,54,80
157,251,55,83
158,249,56,97
159,249,57,81
160,249,58,75
161,249,59,79
162,249,60,76
163,250,61,81
164,249,62,98
165,250,63,79
166,249,64,100
167,249,65,95
168,249,66,73
169,250,67,82
170,250,68,84
171,252,69,80
172,252,70,78
173,213,71,82
174,244,72,88
175,223,73,81
176,233,74,89
177,223,75,82
178,233,76,89
179,215,77,92
180,215,78,90
181,223,79,83
182,213,80,83
183,234,81,88
184,213,82,78
185,223,83,75
186,215,84,103
187,214,85,84
188,213,86,95
189,213,87,76
190,214,88,84
191,214,89,80
192,215,90,92
193,215,91,90
194,214,92,80
195,213,93,76
196,214,94,89
197,214,95,84
198,215,96,103
199,213,97,84
200,213,98,80
201,214,99,84
202,214,100,109
203,223,101,80
