supernode,first_col,end_col,parent,row_begin,row_end,row_count,width
0,0,1,50,0,82,82,1
1,1,2,50,82,161,79,1
2,2,3,50,161,258,97,1
3,3,4,50,258,336,78,1
4,4,5,50,336,421,85,1
5,5,6,50,421,503,82,1
6,6,7,40,503,580,77,1
7,7,8,40,580,670,90,1
8,8,9,40,670,761,91,1
9,9,10,40,761,851,90,1
10,10,11,40,851,931,80,1
11,11,12,40,931,1007,76,1
12,12,13,40,1007,1103,96,1
13,13,14,40,1103,1197,94,1
14,14,15,40,1197,1286,89,1
15,15,16,40,1286,1367,81,1
16,16,17,40,1367,1453,86,1
17,17,18,40,1453,1557,104,1
18,18,19,40,1557,1635,78,1
19,19,20,40,1635,1717,82,1
20,20,21,40,1717,1797,80,1
21,21,22,40,1797,1887,90,1
22,22,23,40,1887,1982,95,1
23,23,24,40,1982,2059,77,1
24,24,25,40,2059,2153,94,1
25,25,26,40,2153,2230,77,1
26,26,27,40,2230,2335,105,1
27,27,28,40,2335,2418,83,1
28,28,29,40,2418,2511,93,1
29,29,30,40,2511,2593,82,1
30,30,31,40,2593,2685,92,1
31,31,32,40,2685,2775,90,1
32,32,33,40,2775,2886,111,1
33,33,34,40,2886,2973,87,1
34,34,35,40,2973,3065,92,1
35,35,36,40,3065,3176,111,1
36,36,37,40,3176,3254,78,1
37,37,38,40,3254,3339,85,1
38,38,39,40,3339,3431,92,1
39,39,40,40,3431,3511,80,1
40,40,88,50,3511,3717,206,48
41,88,89,50,3717,3795,78,1
42,89,90,50,3795,3881,86,1
43,90,91,50,3881,3962,81,1
44,91,92,50,3962,4046,84,1
45,92,93,50,4046,4141,95,1
46,93,94,50,4141,4224,83,1
47,94,95,50,4224,4299,75,1
48,95,96,50,4299,4380,81,1
49,96,97,50,4380,4460,80,1
50,97,153,110,4460,4633,173,56
51,153,154,109,4633,4715,82,1
52,154,155,109,4715,4798,83,1
53,155,156,109,4798,4874,76,1
54,156,157,109,4874,4954,80,1
55,157,158,109,4954,5037,83,1
56,158,159,109,5037,5134,97,1
57,159,160,109,5134,5215,81,1
58,160,161,109,5215,5290,75,1
59,161,162,109,5290,5369,79,1
60,162,163,109,5369,5445,76,1
61,163,164,109,5445,5526,81,1
62,164,165,109,5526,5624,98,1
63,165,166,109,5624,5703,79,1
64,166,167,109,5703,5803,100,1
65,167,168,109,5803,5898,95,1
66,168,169,109,5898,5971,73,1
67,169,170,109,5971,6053,82,1
68,170,171,109,6053,6137,84,1
69,171,172,109,6137,6217,80,1
70,172,173,109,6217,6295,78,1
71,173,174,109,6295,6377,82,1
72,174,175,109,6377,6465,88,1
73,175,176,109,6465,6546,81,1
74,176,177,109,6546,6635,89,1
75,177,178,109,6635,6717,82,1
76,178,179,109,6717,6806,89,1
77,179,180,109,6806,6898,92,1
78,180,181,109,6898,6988,90,1
79,181,182,109,6988,7071,83,1
80,182,183,109,7071,7154,83,1
81,183,184,109,7154,7242,88,1
82,184,185,109,7242,7320,78,1
83,185,186,109,7320,7395,75,1
84,186,187,109,7395,7498,103,1
85,187,188,109,7498,7582,84,1
86,188,189,109,7582,7677,95,1
87,189,190,109,7677,7753,76,1
88,190,191,109,7753,7837,84,1
89,191,192,109,7837,7917,80,1
90,192,193,109,7917,8009,92,1
91,193,194,109,8009,8099,90,1
92,194,195,109,8099,8179,80,1
93,195,196,109,8179,8255,76,1
94,196,197,109,8255,8344,89,1
95,197,198,109,8344,8428,84,1
96,198,199,109,8428,8531,103,1
97,199,200,109,8531,8615,84,1
